Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
"Longevity, Aging and Generational Studies Minor",18,HDFS 249N,Adult Development and Aging,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,HDFS 445,Development Throughout Adulthood,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,ADTED 460,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,AYFCE/CIED 845,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,BBH 316,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,BBH 368,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,BBH 410,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,BBH 416,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,BBH 417,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,BBH 420,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,BBH/HPA 440,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,BBH 468,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,BBH 469,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,BIOL 155,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,BIOL 409,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,CAS 162N,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,CAS 253,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,CAS 421,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,CAS 453,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,ENGR 310,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,FIN 330,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,FIN 430,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,FIN 450,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,HDFS 210Z,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,HDFS 413,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,HDFS 434,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,HDFS 447,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,HDFS 448,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,HHD 100H,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,HHD 245N,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,HM 306,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,HM 413,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,HM 483,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,HM 484,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
"Longevity, Aging and Generational Studies Minor",18,HPA 301,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Note: With faculty approval, students may apply credits earned through special topics courses (297, 497), independent study or research that focus on aging or old age towards minor requirements.",https://bulletins.psu.edu/undergraduate/colleges/intercollege/longevity-aging-generational-studies-minor/
