Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Mathematics Minor (Science),26,MATH 140,Calculus With Analytic Geometry I,4,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-minor/
Mathematics Minor (Science),26,MATH 141,Calculus with Analytic Geometry II,4,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-minor/
Mathematics Minor (Science),26,MATH 220,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-minor/
Mathematics Minor (Science),26,MATH 230,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-minor/
Mathematics Minor (Science),26,MATH 231,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-minor/
Mathematics Minor (Science),26,MATH 232,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-minor/
Mathematics Minor (Science),26,MATH 250,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-minor/
Mathematics Minor (Science),26,MATH 251,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-minor/
Mathematics Minor (Science),26,MATH 310,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-minor/
Mathematics Minor (Science),26,MATH 311W,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-minor/
Mathematics Minor (Science),26,MATH 312,N/A,,Select 6 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-minor/
Mathematics Minor (Science),26,,Select 12 credits of 400-level MATH courses,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/mathematics-minor/
