Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Media Studies Minor,18,COMM 100N,The Mass Media and Society,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-minor/
Media Studies Minor,18,COMM 110,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-minor/
Media Studies Minor,18,COMM 118,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-minor/
Media Studies Minor,18,COMM 150N,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-minor/
Media Studies Minor,18,COMM 180,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-minor/
Media Studies Minor,18,COMM 205,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-minor/
Media Studies Minor,18,COMM 250,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-minor/
Media Studies Minor,18,COMM 261,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-minor/
Media Studies Minor,18,COMM 304,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-minor/
Media Studies Minor,18,COMM 404,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-minor/
Media Studies Minor,18,COMM 401,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-minor/
Media Studies Minor,18,COMM 403,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-minor/
Media Studies Minor,18,COMM 405,N/A,,Select 12 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/media-studies-minor/
