Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Middle East Studies Minor,18,CMLIT 7,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,HIST/ARAB/RLST 165,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,HIST/JST 181,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,HIST 190,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,PLSC 267N,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,RLST 107,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,ANTH/JST/PLSC 60N,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,ARAB 1,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,ARAB 2,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
Middle East Studies Minor,18,ARAB 3,N/A,,Select 15 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Courses with Middle East content not listed below may count toward the minor in consultation with the director of Middle East Studies.; Some courses may require other course work as some courses have prerequisites.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/middle-east-studies-minor/
