Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Military Studies Minor,24,AIR 151,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,AIR 152,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,AIR 252,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,AIR 351,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,AIR 352,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,AIR 451,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,AIR 452,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,ARMY 101,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,ARMY 102,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,ARMY 203,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
