Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
One Health Minor,21,VBSC 340,Introduction to Human and Veterinary Public Health,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,VBSC 444,Epidemiology of Infectious Diseases,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,VBSC 455,One Health,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,VBSC 456,Case Studies in Global One Health,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,ANSC 419W,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,BBH 302,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,BMB 464,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,BMH 490,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,BIOL 415,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,CED 442,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,ENT 450,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,ERM 430,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,ENVSE 450,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,FDSC 408,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,FOR/WFS 430,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,GEOG 436,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,GEOSC 420,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,MICRB 412,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,NUTR 430,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,SOC 423,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
One Health Minor,21,VBSC 403H,N/A,,Select 0 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Some courses have prerequisites which need to be completed before taking the course.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/one-health-minor/
