Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Pennsylvania Studies Minor,18,HIST 12,History of Pennsylvania,3,Mandatory,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With the approval of the Pennsylvania Studies adviser, students may count up to 3 credits for internships in Pennsylvania. Students may enroll in the College of the Liberal Arts internship program or a departmental internship program.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/pennsylvania-studies-minor/
Pennsylvania Studies Minor,18,AMST 50,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With the approval of the Pennsylvania Studies adviser, students may count up to 3 credits for internships in Pennsylvania. Students may enroll in the College of the Liberal Arts internship program or a departmental internship program.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/pennsylvania-studies-minor/
Pennsylvania Studies Minor,18,GER 157N,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With the approval of the Pennsylvania Studies adviser, students may count up to 3 credits for internships in Pennsylvania. Students may enroll in the College of the Liberal Arts internship program or a departmental internship program.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/pennsylvania-studies-minor/
Pennsylvania Studies Minor,18,HIST 150,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With the approval of the Pennsylvania Studies adviser, students may count up to 3 credits for internships in Pennsylvania. Students may enroll in the College of the Liberal Arts internship program or a departmental internship program.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/pennsylvania-studies-minor/
Pennsylvania Studies Minor,18,HIST 200,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With the approval of the Pennsylvania Studies adviser, students may count up to 3 credits for internships in Pennsylvania. Students may enroll in the College of the Liberal Arts internship program or a departmental internship program.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/pennsylvania-studies-minor/
Pennsylvania Studies Minor,18,PLSC 125,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With the approval of the Pennsylvania Studies adviser, students may count up to 3 credits for internships in Pennsylvania. Students may enroll in the College of the Liberal Arts internship program or a departmental internship program.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/pennsylvania-studies-minor/
Pennsylvania Studies Minor,18,LA 496,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With the approval of the Pennsylvania Studies adviser, students may count up to 3 credits for internships in Pennsylvania. Students may enroll in the College of the Liberal Arts internship program or a departmental internship program.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/pennsylvania-studies-minor/
Pennsylvania Studies Minor,18,LER 100,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With the approval of the Pennsylvania Studies adviser, students may count up to 3 credits for internships in Pennsylvania. Students may enroll in the College of the Liberal Arts internship program or a departmental internship program.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/pennsylvania-studies-minor/
Pennsylvania Studies Minor,18,PLSC 130,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With the approval of the Pennsylvania Studies adviser, students may count up to 3 credits for internships in Pennsylvania. Students may enroll in the College of the Liberal Arts internship program or a departmental internship program.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/pennsylvania-studies-minor/
Pennsylvania Studies Minor,18,PLSC 426,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With the approval of the Pennsylvania Studies adviser, students may count up to 3 credits for internships in Pennsylvania. Students may enroll in the College of the Liberal Arts internship program or a departmental internship program.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/pennsylvania-studies-minor/
Pennsylvania Studies Minor,18,SOC 454,N/A,,Select 6 Credits,"The minor consists of 18 credits, at least 6 of which must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; With the approval of the Pennsylvania Studies adviser, students may count up to 3 credits for internships in Pennsylvania. Students may enroll in the College of the Liberal Arts internship program or a departmental internship program.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/pennsylvania-studies-minor/
