Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Petroleum and Natural Gas Engineering Minor,23,PNG 410,Applied Reservoir Engineering,3,Mandatory,"A minimum of 23 credits is required for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/petroleum-natural-gas-engineering-minor/
Petroleum and Natural Gas Engineering Minor,23,PNG 440W,Formation Evaluation,3,Mandatory,"A minimum of 23 credits is required for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/petroleum-natural-gas-engineering-minor/
Petroleum and Natural Gas Engineering Minor,23,PNG 406,Rock and Fluid Laboratory,1,Mandatory,"A minimum of 23 credits is required for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/petroleum-natural-gas-engineering-minor/
Petroleum and Natural Gas Engineering Minor,23,PNG 405,Rock and Fluid Properties,3,Mandatory,"A minimum of 23 credits is required for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/petroleum-natural-gas-engineering-minor/
Petroleum and Natural Gas Engineering Minor,23,PHYS 211,General Physics:  Mechanics,4,Mandatory,"A minimum of 23 credits is required for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/petroleum-natural-gas-engineering-minor/
Petroleum and Natural Gas Engineering Minor,23,PNG 411,N/A,,Select 9 Credits,"A minimum of 23 credits is required for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/petroleum-natural-gas-engineering-minor/
Petroleum and Natural Gas Engineering Minor,23,PNG 420,N/A,,Select 9 Credits,"A minimum of 23 credits is required for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/petroleum-natural-gas-engineering-minor/
Petroleum and Natural Gas Engineering Minor,23,PNG 425,N/A,,Select 9 Credits,"A minimum of 23 credits is required for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/petroleum-natural-gas-engineering-minor/
Petroleum and Natural Gas Engineering Minor,23,PNG 430,N/A,,Select 9 Credits,"A minimum of 23 credits is required for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/petroleum-natural-gas-engineering-minor/
Petroleum and Natural Gas Engineering Minor,23,PNG 450,N/A,,Select 9 Credits,"A minimum of 23 credits is required for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/petroleum-natural-gas-engineering-minor/
Petroleum and Natural Gas Engineering Minor,23,PNG 451,N/A,,Select 9 Credits,"A minimum of 23 credits is required for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/petroleum-natural-gas-engineering-minor/
Petroleum and Natural Gas Engineering Minor,23,PNG 475,N/A,,Select 9 Credits,"A minimum of 23 credits is required for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/petroleum-natural-gas-engineering-minor/
Petroleum and Natural Gas Engineering Minor,23,PNG 480,N/A,,Select 9 Credits,"A minimum of 23 credits is required for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/petroleum-natural-gas-engineering-minor/
Petroleum and Natural Gas Engineering Minor,23,PNG 482,N/A,,Select 9 Credits,"A minimum of 23 credits is required for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/petroleum-natural-gas-engineering-minor/
Petroleum and Natural Gas Engineering Minor,23,PNG 496,N/A,,Select 9 Credits,"A minimum of 23 credits is required for the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/petroleum-natural-gas-engineering-minor/
