Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Planetary Science and Astronomy Minor,19,ASTRO 402W,"Astronomical Telescopes, Techniques, and Data Analysis",3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-astronomy-minor/
Planetary Science and Astronomy Minor,19,ASTRO 401,Fundamentals of Planetary Science and Astronomy,4,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-astronomy-minor/
Planetary Science and Astronomy Minor,19,ASTRO 1,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-astronomy-minor/
Planetary Science and Astronomy Minor,19,ASTRO 5,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-astronomy-minor/
Planetary Science and Astronomy Minor,19,ASTRO 6,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-astronomy-minor/
Planetary Science and Astronomy Minor,19,ASTRO 10,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-astronomy-minor/
Planetary Science and Astronomy Minor,19,ASTRO 11,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-astronomy-minor/
Planetary Science and Astronomy Minor,19,ASTRO 291,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-astronomy-minor/
Planetary Science and Astronomy Minor,19,ASTRO 120,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-astronomy-minor/
Planetary Science and Astronomy Minor,19,ASTRO 130,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-astronomy-minor/
Planetary Science and Astronomy Minor,19,ASTRO 140,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-astronomy-minor/
Planetary Science and Astronomy Minor,19,ASTRO 292,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/eberly-science/planetary-science-astronomy-minor/
