Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Plant Pathology Minor,22,PPEM 405,Microbe-Plant Interactions:  Plant Disease and Biological Control,N/A,Mandatory,"The minor in Plant Pathology requires 22 credits in approved courses in addition to the major requirements of the student's choice.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students must select, in consultation with the Plant Pathology Minor adviser, at least 3 credits of PPEM 496 (Independent Study) working with one or more faculty in the department of Plant Pathology and Environmental Microbiology. An additional three Independent Study credits may be applied to the Minor requirements as Additional Courses.; Students may select one of these two courses for the second list of Additional Courses, but the same course cannot be counted toward both lists.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-pathology-minor/
Plant Pathology Minor,22,PPEM 300,Horticultural Crop Diseases  2,3,Mandatory,"The minor in Plant Pathology requires 22 credits in approved courses in addition to the major requirements of the student's choice.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students must select, in consultation with the Plant Pathology Minor adviser, at least 3 credits of PPEM 496 (Independent Study) working with one or more faculty in the department of Plant Pathology and Environmental Microbiology. An additional three Independent Study credits may be applied to the Minor requirements as Additional Courses.; Students may select one of these two courses for the second list of Additional Courses, but the same course cannot be counted toward both lists.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-pathology-minor/
Plant Pathology Minor,22,BIOL 110,Biology:  Basic Concepts and Biodiversity,4,Mandatory,"The minor in Plant Pathology requires 22 credits in approved courses in addition to the major requirements of the student's choice.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students must select, in consultation with the Plant Pathology Minor adviser, at least 3 credits of PPEM 496 (Independent Study) working with one or more faculty in the department of Plant Pathology and Environmental Microbiology. An additional three Independent Study credits may be applied to the Minor requirements as Additional Courses.; Students may select one of these two courses for the second list of Additional Courses, but the same course cannot be counted toward both lists.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-pathology-minor/
Plant Pathology Minor,22,PPEM 496,Independent Studies 1,3,Mandatory,"The minor in Plant Pathology requires 22 credits in approved courses in addition to the major requirements of the student's choice.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students must select, in consultation with the Plant Pathology Minor adviser, at least 3 credits of PPEM 496 (Independent Study) working with one or more faculty in the department of Plant Pathology and Environmental Microbiology. An additional three Independent Study credits may be applied to the Minor requirements as Additional Courses.; Students may select one of these two courses for the second list of Additional Courses, but the same course cannot be counted toward both lists.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-pathology-minor/
Plant Pathology Minor,22,AGECO 121,N/A,,Select 0-3 Credits,"The minor in Plant Pathology requires 22 credits in approved courses in addition to the major requirements of the student's choice.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students must select, in consultation with the Plant Pathology Minor adviser, at least 3 credits of PPEM 496 (Independent Study) working with one or more faculty in the department of Plant Pathology and Environmental Microbiology. An additional three Independent Study credits may be applied to the Minor requirements as Additional Courses.; Students may select one of these two courses for the second list of Additional Courses, but the same course cannot be counted toward both lists.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-pathology-minor/
Plant Pathology Minor,22,AGECO/ENT 457,N/A,,Select 0-3 Credits,"The minor in Plant Pathology requires 22 credits in approved courses in addition to the major requirements of the student's choice.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students must select, in consultation with the Plant Pathology Minor adviser, at least 3 credits of PPEM 496 (Independent Study) working with one or more faculty in the department of Plant Pathology and Environmental Microbiology. An additional three Independent Study credits may be applied to the Minor requirements as Additional Courses.; Students may select one of these two courses for the second list of Additional Courses, but the same course cannot be counted toward both lists.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-pathology-minor/
Plant Pathology Minor,22,PPEM 120,N/A,,Select 0-3 Credits,"The minor in Plant Pathology requires 22 credits in approved courses in addition to the major requirements of the student's choice.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students must select, in consultation with the Plant Pathology Minor adviser, at least 3 credits of PPEM 496 (Independent Study) working with one or more faculty in the department of Plant Pathology and Environmental Microbiology. An additional three Independent Study credits may be applied to the Minor requirements as Additional Courses.; Students may select one of these two courses for the second list of Additional Courses, but the same course cannot be counted toward both lists.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-pathology-minor/
Plant Pathology Minor,22,PPEM 300,N/A,,Select 0-3 Credits,"The minor in Plant Pathology requires 22 credits in approved courses in addition to the major requirements of the student's choice.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students must select, in consultation with the Plant Pathology Minor adviser, at least 3 credits of PPEM 496 (Independent Study) working with one or more faculty in the department of Plant Pathology and Environmental Microbiology. An additional three Independent Study credits may be applied to the Minor requirements as Additional Courses.; Students may select one of these two courses for the second list of Additional Courses, but the same course cannot be counted toward both lists.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-pathology-minor/
Plant Pathology Minor,22,PPEM 318,N/A,,Select 0-3 Credits,"The minor in Plant Pathology requires 22 credits in approved courses in addition to the major requirements of the student's choice.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students must select, in consultation with the Plant Pathology Minor adviser, at least 3 credits of PPEM 496 (Independent Study) working with one or more faculty in the department of Plant Pathology and Environmental Microbiology. An additional three Independent Study credits may be applied to the Minor requirements as Additional Courses.; Students may select one of these two courses for the second list of Additional Courses, but the same course cannot be counted toward both lists.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-pathology-minor/
Plant Pathology Minor,22,PPEM 405,N/A,,Select 0-3 Credits,"The minor in Plant Pathology requires 22 credits in approved courses in addition to the major requirements of the student's choice.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Students must select, in consultation with the Plant Pathology Minor adviser, at least 3 credits of PPEM 496 (Independent Study) working with one or more faculty in the department of Plant Pathology and Environmental Microbiology. An additional three Independent Study credits may be applied to the Minor requirements as Additional Courses.; Students may select one of these two courses for the second list of Additional Courses, but the same course cannot be counted toward both lists.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-pathology-minor/
