Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Poultry and Avian Science Minor,18,ANSC 211,Introduction to Avian Biology 1,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 110 is a prerequisite for ANSC 211.; ANSC 100 is a prerequisite for ANSC 311.; ANSC 211, ANSC 311 and MICRB 106 & MICRB 107 or MICRB 201 & MICRB 202 are prerequisites for ANSC 425/VBSC 425.; ANSC 395 and ANSC 496 must have a poultry or avian biology emphasis.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/poultry-avian-science-minor/
Poultry and Avian Science Minor,18,ANSC/VBSC 425,Principles of Avian Diseases 3,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 110 is a prerequisite for ANSC 211.; ANSC 100 is a prerequisite for ANSC 311.; ANSC 211, ANSC 311 and MICRB 106 & MICRB 107 or MICRB 201 & MICRB 202 are prerequisites for ANSC 425/VBSC 425.; ANSC 395 and ANSC 496 must have a poultry or avian biology emphasis.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/poultry-avian-science-minor/
Poultry and Avian Science Minor,18,ANSC 311,Poultry Production and Management 2,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 110 is a prerequisite for ANSC 211.; ANSC 100 is a prerequisite for ANSC 311.; ANSC 211, ANSC 311 and MICRB 106 & MICRB 107 or MICRB 201 & MICRB 202 are prerequisites for ANSC 425/VBSC 425.; ANSC 395 and ANSC 496 must have a poultry or avian biology emphasis.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/poultry-avian-science-minor/
Poultry and Avian Science Minor,18,AGBM 302,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 110 is a prerequisite for ANSC 211.; ANSC 100 is a prerequisite for ANSC 311.; ANSC 211, ANSC 311 and MICRB 106 & MICRB 107 or MICRB 201 & MICRB 202 are prerequisites for ANSC 425/VBSC 425.; ANSC 395 and ANSC 496 must have a poultry or avian biology emphasis.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/poultry-avian-science-minor/
Poultry and Avian Science Minor,18,AGBM 338,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 110 is a prerequisite for ANSC 211.; ANSC 100 is a prerequisite for ANSC 311.; ANSC 211, ANSC 311 and MICRB 106 & MICRB 107 or MICRB 201 & MICRB 202 are prerequisites for ANSC 425/VBSC 425.; ANSC 395 and ANSC 496 must have a poultry or avian biology emphasis.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/poultry-avian-science-minor/
Poultry and Avian Science Minor,18,ANSC 207,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 110 is a prerequisite for ANSC 211.; ANSC 100 is a prerequisite for ANSC 311.; ANSC 211, ANSC 311 and MICRB 106 & MICRB 107 or MICRB 201 & MICRB 202 are prerequisites for ANSC 425/VBSC 425.; ANSC 395 and ANSC 496 must have a poultry or avian biology emphasis.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/poultry-avian-science-minor/
Poultry and Avian Science Minor,18,ANSC 208,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 110 is a prerequisite for ANSC 211.; ANSC 100 is a prerequisite for ANSC 311.; ANSC 211, ANSC 311 and MICRB 106 & MICRB 107 or MICRB 201 & MICRB 202 are prerequisites for ANSC 425/VBSC 425.; ANSC 395 and ANSC 496 must have a poultry or avian biology emphasis.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/poultry-avian-science-minor/
Poultry and Avian Science Minor,18,ANSC 300,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 110 is a prerequisite for ANSC 211.; ANSC 100 is a prerequisite for ANSC 311.; ANSC 211, ANSC 311 and MICRB 106 & MICRB 107 or MICRB 201 & MICRB 202 are prerequisites for ANSC 425/VBSC 425.; ANSC 395 and ANSC 496 must have a poultry or avian biology emphasis.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/poultry-avian-science-minor/
Poultry and Avian Science Minor,18,ANSC 301,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 110 is a prerequisite for ANSC 211.; ANSC 100 is a prerequisite for ANSC 311.; ANSC 211, ANSC 311 and MICRB 106 & MICRB 107 or MICRB 201 & MICRB 202 are prerequisites for ANSC 425/VBSC 425.; ANSC 395 and ANSC 496 must have a poultry or avian biology emphasis.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/poultry-avian-science-minor/
Poultry and Avian Science Minor,18,ANSC 322,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; BIOL 110 is a prerequisite for ANSC 211.; ANSC 100 is a prerequisite for ANSC 311.; ANSC 211, ANSC 311 and MICRB 106 & MICRB 107 or MICRB 201 & MICRB 202 are prerequisites for ANSC 425/VBSC 425.; ANSC 395 and ANSC 496 must have a poultry or avian biology emphasis.",https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/poultry-avian-science-minor/
