Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Rhetoric Minor,18,CAS 301,Rhetorical Theory,3,Mandatory,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,ENGL 471,Rhetorical Traditions,3,Mandatory,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,CAS 175,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,CAS 311,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,CAS 321,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,CAS 375,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,CAS 411,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,CAS 415,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,CAS 420,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,CAS 426W,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,CAS 475,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,CAS 478,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,ENGL 415,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,ENGL 416,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,ENGL 417,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,ENGL 420,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,ENGL 472,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,ENGL 473,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,ENGL 474,N/A,,Select 0-3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,CAS 494H,N/A,,Select 3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,or ENGL 310,N/A,N/A,Select 3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,CAS 499,N/A,,Select 3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,ENGL 499,N/A,N/A,Select 3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,ENGL 487W,N/A,,Select 3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
Rhetoric Minor,18,LA 495,N/A,,Select 3 Credits,"A minimum of 6 credits at the 400 level; maximum of 6 credits may be double-counted.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/rhetoric-minor/
