Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Security and Risk Analysis Minor,21,IST 140,Introduction to Application Development,3,Mandatory,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,CMPSC 101,Introduction to Programming,N/A,Mandatory,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,SRA 221,Overview of Information Security,3,Mandatory,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,SRA 111,Introduction to Security and Risk Analysis,3,Mandatory,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,IST 220,Networking and Telecommunications,3,Mandatory,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,SRA 231,Decision Theory and Analysis,N/A,Mandatory,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,SRA 211,Threat of Terrorism and Crime,3,Mandatory,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,IST 432,N/A,,Select 6 Credits,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,IST 451,N/A,,Select 6 Credits,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,IST 452,N/A,,Select 6 Credits,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,IST 453,N/A,,Select 6 Credits,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,IST 454,N/A,,Select 6 Credits,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,IST 456,N/A,,Select 6 Credits,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,SRA 421,N/A,,Select 6 Credits,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,SRA 468,N/A,,Select 6 Credits,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,SRA 471,N/A,,Select 6 Credits,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
Security and Risk Analysis Minor,21,SRA 480,N/A,,Select 6 Credits,"At least 6 credits must be at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/security-risk-analysis-minor/
