Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Sexuality and Gender Studies Minor,18,ENGL 245,Introduction to LGBTQ Studies,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,HDFS/WMNST 250,Sexual and Gender Identity Over the Lifespan,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,CHNS 416,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,ENGL 225N,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,ENGL 227,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,HIST/WMNST 116N,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,HIST/WMNST 166,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,HIST/WMNST 466,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,PHIL 14,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,WMNST 106N,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,WMNST 301,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,WMNST 400N,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,AFAM/SOC/WMNST 103,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,AFAM/WMNST 364,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,ANTH 216N,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,ANTH 416,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
Sexuality and Gender Studies Minor,18,ANTH/WMNST 476W,N/A,,Select 0-3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; In order to fulfill the interdisciplinary nature of the minor, students must study both in arts and humanities and in sciences. With the permission of the person in charge of the minor, ""Special Topics"" courses may be substituted for courses listed.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/sexuality-gender-studies-minor/
