Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Social Justice in Education Minor,18,CI 485,Social Justice in Education Capstone Course,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; For CI 280, only sections with a virtual tutoring component will be eligible.",https://bulletins.psu.edu/undergraduate/colleges/education/social-justice-education-minor/
Social Justice in Education Minor,18,CI 185,Principles of Social Justice in Education,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; For CI 280, only sections with a virtual tutoring component will be eligible.",https://bulletins.psu.edu/undergraduate/colleges/education/social-justice-education-minor/
Social Justice in Education Minor,18,CI 285,Active Engagement for Social Justice in Education,3,Mandatory,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; For CI 280, only sections with a virtual tutoring component will be eligible.",https://bulletins.psu.edu/undergraduate/colleges/education/social-justice-education-minor/
Social Justice in Education Minor,18,AEE 100,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; For CI 280, only sections with a virtual tutoring component will be eligible.",https://bulletins.psu.edu/undergraduate/colleges/education/social-justice-education-minor/
Social Justice in Education Minor,18,AFAM 103,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; For CI 280, only sections with a virtual tutoring component will be eligible.",https://bulletins.psu.edu/undergraduate/colleges/education/social-justice-education-minor/
Social Justice in Education Minor,18,AFAM 431,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; For CI 280, only sections with a virtual tutoring component will be eligible.",https://bulletins.psu.edu/undergraduate/colleges/education/social-justice-education-minor/
Social Justice in Education Minor,18,AFAM 492,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; For CI 280, only sections with a virtual tutoring component will be eligible.",https://bulletins.psu.edu/undergraduate/colleges/education/social-justice-education-minor/
Social Justice in Education Minor,18,BBH 446,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; For CI 280, only sections with a virtual tutoring component will be eligible.",https://bulletins.psu.edu/undergraduate/colleges/education/social-justice-education-minor/
Social Justice in Education Minor,18,CED 375,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; For CI 280, only sections with a virtual tutoring component will be eligible.",https://bulletins.psu.edu/undergraduate/colleges/education/social-justice-education-minor/
Social Justice in Education Minor,18,CED 440,N/A,,Select 3 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; For CI 280, only sections with a virtual tutoring component will be eligible.",https://bulletins.psu.edu/undergraduate/colleges/education/social-justice-education-minor/
