Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Spanish Minor,18,SPAN 200,Intensive Grammar and Composition 1,3,Mandatory,"Courses that do not require knowledge of Spanish may not be counted toward the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Heritage speakers (students with Spanish language in family background) and native speakers of Spanish should take SPAN 100A and SPAN 301 instead of SPAN 100 and SPAN 200. May not take SPAN 410.; SPAN 199, SPAN 299, SPAN 399, and SPAN 499 (Study Abroad - Spanish) and SPAN 197, SPAN 297, SPAN 397, SPAN 497 (Special Topics Courses) may also be applied to the Spanish minor and will be substituted for the appropriate course by the Spanish minor adviser. All courses taken abroad must be taught in Spanish.; NOTE: SPAN 130, SPAN 131, SPAN 230 and any course that does not require a knowledge of Spanish do not count toward the Spanish minor.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/spanish-minor/
Spanish Minor,18,SPAN 301,Intensive Grammar and Composition for Spanish Bilinguals,N/A,Mandatory,"Courses that do not require knowledge of Spanish may not be counted toward the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Heritage speakers (students with Spanish language in family background) and native speakers of Spanish should take SPAN 100A and SPAN 301 instead of SPAN 100 and SPAN 200. May not take SPAN 410.; SPAN 199, SPAN 299, SPAN 399, and SPAN 499 (Study Abroad - Spanish) and SPAN 197, SPAN 297, SPAN 397, SPAN 497 (Special Topics Courses) may also be applied to the Spanish minor and will be substituted for the appropriate course by the Spanish minor adviser. All courses taken abroad must be taught in Spanish.; NOTE: SPAN 130, SPAN 131, SPAN 230 and any course that does not require a knowledge of Spanish do not count toward the Spanish minor.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/spanish-minor/
Spanish Minor,18,SPAN 253W,Introduction to Literary & Cultural Studies en Español,N/A,Mandatory,"Courses that do not require knowledge of Spanish may not be counted toward the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Heritage speakers (students with Spanish language in family background) and native speakers of Spanish should take SPAN 100A and SPAN 301 instead of SPAN 100 and SPAN 200. May not take SPAN 410.; SPAN 199, SPAN 299, SPAN 399, and SPAN 499 (Study Abroad - Spanish) and SPAN 197, SPAN 297, SPAN 397, SPAN 497 (Special Topics Courses) may also be applied to the Spanish minor and will be substituted for the appropriate course by the Spanish minor adviser. All courses taken abroad must be taught in Spanish.; NOTE: SPAN 130, SPAN 131, SPAN 230 and any course that does not require a knowledge of Spanish do not count toward the Spanish minor.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/spanish-minor/
Spanish Minor,18,SPAN 215,The Science of Spanish: A Beginner's Guide to Hispanic Linguistics,3,Mandatory,"Courses that do not require knowledge of Spanish may not be counted toward the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Heritage speakers (students with Spanish language in family background) and native speakers of Spanish should take SPAN 100A and SPAN 301 instead of SPAN 100 and SPAN 200. May not take SPAN 410.; SPAN 199, SPAN 299, SPAN 399, and SPAN 499 (Study Abroad - Spanish) and SPAN 197, SPAN 297, SPAN 397, SPAN 497 (Special Topics Courses) may also be applied to the Spanish minor and will be substituted for the appropriate course by the Spanish minor adviser. All courses taken abroad must be taught in Spanish.; NOTE: SPAN 130, SPAN 131, SPAN 230 and any course that does not require a knowledge of Spanish do not count toward the Spanish minor.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/spanish-minor/
Spanish Minor,18,SPAN 100,N/A,,Select 0-3 Credits,"Courses that do not require knowledge of Spanish may not be counted toward the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Heritage speakers (students with Spanish language in family background) and native speakers of Spanish should take SPAN 100A and SPAN 301 instead of SPAN 100 and SPAN 200. May not take SPAN 410.; SPAN 199, SPAN 299, SPAN 399, and SPAN 499 (Study Abroad - Spanish) and SPAN 197, SPAN 297, SPAN 397, SPAN 497 (Special Topics Courses) may also be applied to the Spanish minor and will be substituted for the appropriate course by the Spanish minor adviser. All courses taken abroad must be taught in Spanish.; NOTE: SPAN 130, SPAN 131, SPAN 230 and any course that does not require a knowledge of Spanish do not count toward the Spanish minor.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/spanish-minor/
Spanish Minor,18,SPAN 100A,N/A,,Select 0-3 Credits,"Courses that do not require knowledge of Spanish may not be counted toward the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Heritage speakers (students with Spanish language in family background) and native speakers of Spanish should take SPAN 100A and SPAN 301 instead of SPAN 100 and SPAN 200. May not take SPAN 410.; SPAN 199, SPAN 299, SPAN 399, and SPAN 499 (Study Abroad - Spanish) and SPAN 197, SPAN 297, SPAN 397, SPAN 497 (Special Topics Courses) may also be applied to the Spanish minor and will be substituted for the appropriate course by the Spanish minor adviser. All courses taken abroad must be taught in Spanish.; NOTE: SPAN 130, SPAN 131, SPAN 230 and any course that does not require a knowledge of Spanish do not count toward the Spanish minor.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/spanish-minor/
Spanish Minor,18,SPAN 100B,N/A,,Select 0-3 Credits,"Courses that do not require knowledge of Spanish may not be counted toward the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Heritage speakers (students with Spanish language in family background) and native speakers of Spanish should take SPAN 100A and SPAN 301 instead of SPAN 100 and SPAN 200. May not take SPAN 410.; SPAN 199, SPAN 299, SPAN 399, and SPAN 499 (Study Abroad - Spanish) and SPAN 197, SPAN 297, SPAN 397, SPAN 497 (Special Topics Courses) may also be applied to the Spanish minor and will be substituted for the appropriate course by the Spanish minor adviser. All courses taken abroad must be taught in Spanish.; NOTE: SPAN 130, SPAN 131, SPAN 230 and any course that does not require a knowledge of Spanish do not count toward the Spanish minor.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/spanish-minor/
Spanish Minor,18,SPAN 100C,N/A,,Select 0-3 Credits,"Courses that do not require knowledge of Spanish may not be counted toward the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Heritage speakers (students with Spanish language in family background) and native speakers of Spanish should take SPAN 100A and SPAN 301 instead of SPAN 100 and SPAN 200. May not take SPAN 410.; SPAN 199, SPAN 299, SPAN 399, and SPAN 499 (Study Abroad - Spanish) and SPAN 197, SPAN 297, SPAN 397, SPAN 497 (Special Topics Courses) may also be applied to the Spanish minor and will be substituted for the appropriate course by the Spanish minor adviser. All courses taken abroad must be taught in Spanish.; NOTE: SPAN 130, SPAN 131, SPAN 230 and any course that does not require a knowledge of Spanish do not count toward the Spanish minor.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/spanish-minor/
Spanish Minor,18,SPAN 210,N/A,,Select 3 Credits,"Courses that do not require knowledge of Spanish may not be counted toward the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Heritage speakers (students with Spanish language in family background) and native speakers of Spanish should take SPAN 100A and SPAN 301 instead of SPAN 100 and SPAN 200. May not take SPAN 410.; SPAN 199, SPAN 299, SPAN 399, and SPAN 499 (Study Abroad - Spanish) and SPAN 197, SPAN 297, SPAN 397, SPAN 497 (Special Topics Courses) may also be applied to the Spanish minor and will be substituted for the appropriate course by the Spanish minor adviser. All courses taken abroad must be taught in Spanish.; NOTE: SPAN 130, SPAN 131, SPAN 230 and any course that does not require a knowledge of Spanish do not count toward the Spanish minor.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/spanish-minor/
Spanish Minor,18,SPAN 220,N/A,,Select 3 Credits,"Courses that do not require knowledge of Spanish may not be counted toward the minor.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).; Heritage speakers (students with Spanish language in family background) and native speakers of Spanish should take SPAN 100A and SPAN 301 instead of SPAN 100 and SPAN 200. May not take SPAN 410.; SPAN 199, SPAN 299, SPAN 399, and SPAN 499 (Study Abroad - Spanish) and SPAN 197, SPAN 297, SPAN 397, SPAN 497 (Special Topics Courses) may also be applied to the Spanish minor and will be substituted for the appropriate course by the Spanish minor adviser. All courses taken abroad must be taught in Spanish.; NOTE: SPAN 130, SPAN 131, SPAN 230 and any course that does not require a knowledge of Spanish do not count toward the Spanish minor.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/spanish-minor/
