Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Teaching English to Speakers of Other Languages Minor,18,APLNG 210,Global English,3,Mandatory,"The minor consists of 18 credit hours. All students are required to take four three-credit courses, for a total of 12 credits in the study of language use, culture and interaction, English as a global language, functional grammar and teaching methods.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/teaching-english-speakers-other-languages-minor/
Teaching English to Speakers of Other Languages Minor,18,APLNG 200,"Introduction to Language, Culture, and Social Interaction",3,Mandatory,"The minor consists of 18 credit hours. All students are required to take four three-credit courses, for a total of 12 credits in the study of language use, culture and interaction, English as a global language, functional grammar and teaching methods.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/teaching-english-speakers-other-languages-minor/
Teaching English to Speakers of Other Languages Minor,18,APLNG 484,Discourse-Functional Grammar,3,Mandatory,"The minor consists of 18 credit hours. All students are required to take four three-credit courses, for a total of 12 credits in the study of language use, culture and interaction, English as a global language, functional grammar and teaching methods.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/teaching-english-speakers-other-languages-minor/
Teaching English to Speakers of Other Languages Minor,18,APLNG 493,Teaching English as a Second Language,3,Mandatory,"The minor consists of 18 credit hours. All students are required to take four three-credit courses, for a total of 12 credits in the study of language use, culture and interaction, English as a global language, functional grammar and teaching methods.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/teaching-english-speakers-other-languages-minor/
Teaching English to Speakers of Other Languages Minor,18,APLNG 83,N/A,,Select 6 Credits,"The minor consists of 18 credit hours. All students are required to take four three-credit courses, for a total of 12 credits in the study of language use, culture and interaction, English as a global language, functional grammar and teaching methods.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/teaching-english-speakers-other-languages-minor/
Teaching English to Speakers of Other Languages Minor,18,APLNG 220N,N/A,,Select 6 Credits,"The minor consists of 18 credit hours. All students are required to take four three-credit courses, for a total of 12 credits in the study of language use, culture and interaction, English as a global language, functional grammar and teaching methods.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/teaching-english-speakers-other-languages-minor/
Teaching English to Speakers of Other Languages Minor,18,APLNG 250,N/A,,Select 6 Credits,"The minor consists of 18 credit hours. All students are required to take four three-credit courses, for a total of 12 credits in the study of language use, culture and interaction, English as a global language, functional grammar and teaching methods.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/teaching-english-speakers-other-languages-minor/
Teaching English to Speakers of Other Languages Minor,18,APLNG 410,N/A,,Select 6 Credits,"The minor consists of 18 credit hours. All students are required to take four three-credit courses, for a total of 12 credits in the study of language use, culture and interaction, English as a global language, functional grammar and teaching methods.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/teaching-english-speakers-other-languages-minor/
Teaching English to Speakers of Other Languages Minor,18,APLNG 412,N/A,,Select 6 Credits,"The minor consists of 18 credit hours. All students are required to take four three-credit courses, for a total of 12 credits in the study of language use, culture and interaction, English as a global language, functional grammar and teaching methods.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/teaching-english-speakers-other-languages-minor/
Teaching English to Speakers of Other Languages Minor,18,APLNG 482Y,N/A,,Select 6 Credits,"The minor consists of 18 credit hours. All students are required to take four three-credit courses, for a total of 12 credits in the study of language use, culture and interaction, English as a global language, functional grammar and teaching methods.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/teaching-english-speakers-other-languages-minor/
Teaching English to Speakers of Other Languages Minor,18,APLNG 491,N/A,,Select 6 Credits,"The minor consists of 18 credit hours. All students are required to take four three-credit courses, for a total of 12 credits in the study of language use, culture and interaction, English as a global language, functional grammar and teaching methods.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/teaching-english-speakers-other-languages-minor/
