Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Watersheds and Water Resources Minor,18,ASM 327,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,BE 307,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,BE 467,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,CE 370,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,CE 371,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,CE 461,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,CE 475,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,CHEM 202,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,CHEM 402,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,ENVE 411,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
